"AE_FAETC"	"AE_FCTAE"	"DAE_FAETC"	"DAE_FCTAE"	"VAE_FCTAE"	"SVAE"	"MMDVAE"
-0.646257997137584	-0.521710475477541	-0.756226260866261	-0.530072596577516	-0.424906333722957	-0.750166266877701	-0.0819850934476071
-0.59117268961758	-0.385484286363559	-0.825359230274375	-0.163082613998827	0.229297931495098	-0.620946068911902	-0.7105697951353
-0.115220108900854	-0.55195004273138	-0.599266434214625	-0.704286066102944	0.337277549423038	-0.297269699976203	-0.319215744371811
-0.59505247162747	-0.174043405649155	-0.408734267761213	0.377422174373601	-0.815750485606645	-0.831238915022378	-0.137041572363478
1.98282413298593	-0.797566729189016	1.34550234604473	-0.823841839011606	-0.69473199819118	-0.71151327936738	-0.707304878209407
0.322084686624768	-0.671032634995357	0.0210447176712257	0.947606689521972	0.133202968345507	-0.79599807425442	-0.584437360331889
-0.288707353650441	-0.818883755967993	-0.656204486025791	-0.329804293505787	0.304558787378727	-0.149381403145558	-0.55272821125791
-0.533695244165787	-0.478903443642261	-0.0162478860882567	-0.480229445529663	-0.419830680522606	2.03635354246274	-0.0310649431459674
-0.624622526506513	-0.757759510947643	0.541916380392926	-0.759113379797276	-0.511264717364159	0.380908068652291	-0.234333489411445
-0.404434903245741	0.244279894619097	0.104252052885354	-0.765611881180605	-0.526321012178237	0.595828350404114	-0.0674081454750553
